Gene names,F1,F2,Category
SF3B6,1.073486964,1.147229513,NA
MRPS27,2.13459142,1.144731522,NA
BMS1,1.253072103,1.142291387,NA
INTS12,1.207092921,1.139554977,NA
NUP160,0.892396291,1.139478683,NA
PIGR,1.37984403,1.139195124,NA
SRSF9,1.032199224,1.138003031,NA
EPRS,1.274653117,1.136426926,NA
TOP2B,1.187505086,1.135932287,NA
PGAM5,0.664607366,1.134679794,NA
EIF2A,1.501122157,1.133546829,NA
FIP1L1,1.051597595,1.133508046,NA
FAM98A,1.053342183,1.132661819,NA
DLAT,1.631670634,1.131705602,NA
FABP3,1.122111638,1.131537755,NA
IDH1,1.456448237,1.129109065,NA
MYO1D,1.843584061,1.12756602,NA
KPNA6;KPNA5,1.08286349,1.124506632,NA
